aptId,aptBath,aptNoOfRooms,aptViews,aptAddedDate,aptEditedDate,aptLat,aptLng,aptURL,aptFloor,aptStoreys,aptTotalPrice,aptPricePerSqm,aptCeilingHeight,aptArea,aptBldgType,aptCondition,aptStreet,aptDistrict,aptRegion,aptFacilities,aptAdditionalFacilities,aptNewConstruction,aptFacilities_heating,aptFacilities_centralheating,aptFacilities_irrigation,aptFacilities_gas,aptFacilities_water,aptFacilities_hotwater,aptFacilities_air-conditioner,aptFacilities_internet,aptFacilities_water24/7,aptFacilities_electricity,aptFacilities_canalization,aptFacilities_sewerage,aptAdditionalFacilities_openbalcony,aptAdditionalFacilities_laminateflooring,aptAdditionalFacilities_roadside,aptAdditionalFacilities_grating,aptAdditionalFacilities_irondoor,aptAdditionalFacilities_elevator,aptAdditionalFacilities_park,aptAdditionalFacilities_attic,aptAdditionalFacilities_closetothebusstation,aptAdditionalFacilities_heatedfloor,aptAdditionalFacilities_gate,aptAdditionalFacilities_eurowindows,aptAdditionalFacilities_gym,aptAdditionalFacilities_bilateral,aptAdditionalFacilities_sauna,aptAdditionalFacilities_view,aptAdditionalFacilities_securitysystem,aptAdditionalFacilities_heater,aptAdditionalFacilities_swimmingpool,aptAdditionalFacilities_loggia,aptAdditionalFacilities_sunny,aptAdditionalFacilities_tile,aptAdditionalFacilities_furniture,aptAdditionalFacilities_storageroom,aptAdditionalFacilities_fireplace,aptAdditionalFacilities_playground,aptAdditionalFacilities_basement,aptAdditionalFacilities_buildingexistence,aptAdditionalFacilities_equipment,aptAdditionalFacilities_parquet,aptAdditionalFacilities_highfirstfloor,aptAdditionalFacilities_parking,aptAdditionalFacilities_fence,aptAdditionalFacilities_balcony,aptAdditionalFacilities_garage
93119,1,2,925,26.01.2020,13.09.2020,40.1771064,44.502793,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/93119,3,13,145000,2544,2.8,57,monolit,newly repaired,mashtots ave,center,yerevan,"heating,gas,hotwater,internet,air-conditioner,electricity,water24/7,water","furniture,equipment,openbalcony,elevator,storageroom,eurowindows,tile,sunny,irondoor",1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0
93847,1,2,583,07.02.2020,14.03.2020,40.1507194,44.5101468,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artsakh+ave/Erebuni/Yerevan/93847,7,14,65000,1066,2.8,61,panel,newly repaired,artsakh ave,erebuni,yerevan,"heating,internet,hotwater,sewerage,canalization,electricity,air-conditioner,gas,water","furniture,equipment,irondoor,openbalcony,balcony,storageroom,tile,parquet,sunny,closetothebusstation,playground,elevator",0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0
100115,1,1,258,13.07.2020,16.09.2020,40.1675421,44.4450305,https://myrealty.am/en/1-bedroom/apartment-for-sale/Z.Andranik+St/Malatia-Sebastia/Yerevan/100115,1,9,75000,904,3,83,panel,newly repaired,z.andranik st,malatia-sebastia,yerevan,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79203,1,2,1544,03.06.2019,19.09.2020,40.1697759,44.518935,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/79203,9,9,100000,1370,2.8,73,panel,good,kajaznuni st,center,yerevan,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83222,1,1,1819,25.08.2019,08.09.2020,40.1939961,44.5090378,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/83222,1,5,120000,2182,3,55,monolit,newly repaired,antarayin st,center,yerevan,"sewerage,canalization,water,water24/7,electricity,hotwater,gas,heating","sunny,heatedfloor,tile,eurowindows,highfirstfloor,elevator,equipment,furniture",1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
93146,1,2,845,27.01.2020,17.09.2020,40.1830977,44.510417,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/93146,3,13,142000,2491,3,57,monolit,newly repaired,mashtots ave,center,yerevan,"heating,gas,hotwater,electricity,water24/7,water","elevator,eurowindows,tile,laminateflooring,sunny,view,closetothebusstation,irondoor",1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101840,1,1,132,26.08.2020,22.09.2020,40.1773371,44.5074447,https://myrealty.am/en/1-bedroom/apartment-for-sale/Zakyan+St/Center/Yerevan/101840,10,11,85000,1889,2.8,45,panel,newly repaired,zakyan st,center,yerevan,"heating,internet,hotwater,electricity,air-conditioner,gas,water,water24/7","eurowindows,irondoor,sunny,view,closetothebusstation,playground,park,elevator",0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97970,1,2,653,23.05.2020,31.08.2020,40.1509224,44.5092015,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artsakh+ave/Erebuni/Yerevan/97970,5,9,42000,933,2.8,45,other,newly repaired,artsakh ave,erebuni,yerevan,"heating,internet,hotwater,sewerage,canalization,electricity,air-conditioner,centralheating,gas,water,water24/7","",0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90346,1,2,852,11.12.2019,17.09.2020,40.1702635,44.5199076,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kajaznuni+St/Center/Yerevan/90346,6,9,80000,1194,2.8,67,panel,good,kajaznuni st,center,yerevan,"hotwater,internet,electricity,water24/7,water,sewerage,canalization","elevator,eurowindows,sunny,view,closetothebusstation,irondoor",0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96375,1,2,745,23.03.2020,11.09.2020,40.1771064,44.502793,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Mashtots+Ave/Center/Yerevan/96375,10,14,255000,3188,3,80,monolit,newly repaired,mashtots ave,center,yerevan,"heating,hotwater,sewerage,canalization,electricity,air-conditioner,gas,water,water24/7","furniture,equipment,eurowindows,irondoor,openbalcony,tile,laminateflooring,securitysystem,sunny,view,closetothebusstation,park,elevator",1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
88978,1,1,1763,20.11.2019,12.09.2020,40.1939961,44.5090378,https://myrealty.am/en/1-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/88978,1,4,65000,1667,2.8,39,monolit,newly repaired,antarayin st,center,yerevan,"water,water24/7,electricity,hotwater,gas,heating","irondoor,bilateral,roadside,sunny,laminateflooring,tile,equipment,furniture",1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
102474,1,1,67,09.09.2020,20.09.2020,40.1773371,44.5074447,https://myrealty.am/en/1-bedroom/apartment-for-sale/Zakyan+St/Center/Yerevan/102474,10,11,85000,1889,2.8,45,panel,good,zakyan st,center,yerevan,"heating,sewerage,canalization,electricity,gas,water,water24/7","eurowindows,irondoor,tile,laminateflooring,elevator",0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100081,1,2,439,12.07.2020,11.09.2020,40.2032721,44.503252,https://myrealty.am/en/2-bedroom/apartment-for-sale/Artsruni+St/Arabkir/Yerevan/100081,10,14,65000,1182,2.8,55,panel,newly repaired,artsruni st,arabkir,yerevan,"heating,hotwater,electricity,gas,water,water24/7","furniture,equipment,eurowindows,irondoor,tile,parquet,sunny,view,closetothebusstation,playground,park,elevator",0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
